vessel_id,timestamp,latitude,longitude,speed,heading
VESSEL_A,2026-09-01T20:30:00Z,25.3220,54.4880,12,90
VESSEL_A,2026-09-01T20:45:00Z,25.3221,54.4888,12,90
VESSEL_B,2026-09-01T20:50:00Z,25.3300,54.5000,10,85
VESSEL_C,2026-09-01T20:40:00Z,25.3000,54.4500,11,270
VESSEL_D,2026-09-01T20:10:00Z,25.6000,54.7000,9,180
VESSEL_E,2026-09-01T22:00:00Z,25.1000,54.2000,8,180
SYNTH_VESSEL_01,2026-09-01T20:11:05Z,25.809635,55.003351,12.4,219.5
SYNTH_VESSEL_01,2026-09-01T20:15:05Z,25.799058,54.993706,12.5,217.7
SYNTH_VESSEL_01,2026-09-01T20:19:05Z,25.788106,54.984332,12.5,216.0
SYNTH_VESSEL_01,2026-09-01T20:23:05Z,25.776924,54.975330,12.5,214.2
SYNTH_VESSEL_01,2026-09-01T20:27:05Z,25.765432,54.966690,12.6,212.6
SYNTH_VESSEL_01,2026-09-01T20:31:05Z,25.753635,54.958332,12.5,211.3
SYNTH_VESSEL_01,2026-09-01T20:35:05Z,25.741760,54.950323,12.6,209.7
SYNTH_VESSEL_01,2026-09-01T20:39:05Z,25.729620,54.942662,12.7,207.5
SYNTH_VESSEL_01,2026-09-01T20:43:05Z,25.717088,54.935437,12.9,205.2
SYNTH_VESSEL_01,2026-09-01T20:47:05Z,25.704155,54.928694,12.8,203.9
SYNTH_VESSEL_01,2026-09-01T20:51:05Z,25.691131,54.922310,12.8,201.9
SYNTH_VESSEL_01,2026-09-01T20:55:05Z,25.677927,54.916424,12.9,200.2
SYNTH_VESSEL_01,2026-09-01T20:59:05Z,25.664509,54.910950,13.0,198.2
SYNTH_VESSEL_01,2026-09-01T21:03:05Z,25.650841,54.905971,13.1,196.1
SYNTH_VESSEL_01,2026-09-01T21:07:05Z,25.636901,54.901511,13.0,194.6
SYNTH_VESSEL_01,2026-09-01T21:11:05Z,25.622901,54.897486,12.9,192.2
SYNTH_VESSEL_01,2026-09-01T21:15:05Z,25.608870,54.894119,13.0,190.5
SYNTH_VESSEL_01,2026-09-01T21:19:05Z,25.594713,54.891212,13.0,188.6
SYNTH_VESSEL_01,2026-09-01T21:23:05Z,25.580415,54.888824,13.2,186.5
SYNTH_VESSEL_01,2026-09-01T21:27:05Z,25.565917,54.887009,13.1,184.1
SYNTH_VESSEL_01,2026-09-01T21:31:05Z,25.551458,54.885852,13.1,182.8
SYNTH_VESSEL_01,2026-09-01T21:35:05Z,25.536943,54.885062,13.1,180.5
SYNTH_VESSEL_01,2026-09-01T21:39:05Z,25.522387,54.884910,13.1,178.8
SYNTH_VESSEL_01,2026-09-01T21:43:05Z,25.507915,54.885242,13.1,177.1
SYNTH_VESSEL_01,2026-09-01T21:47:05Z,25.493459,54.886057,13.0,174.9
SYNTH_VESSEL_01,2026-09-01T21:51:05Z,25.479153,54.887466,12.8,172.9
SYNTH_VESSEL_01,2026-09-01T21:55:05Z,25.465022,54.889421,12.9,170.6
SYNTH_VESSEL_01,2026-09-01T21:59:05Z,25.450868,54.891997,13.0,168.4
SYNTH_VESSEL_01,2026-09-01T22:03:05Z,25.436768,54.895201,13.1,166.3
SYNTH_VESSEL_01,2026-09-01T22:07:05Z,25.422699,54.898977,13.0,164.1
SYNTH_VESSEL_01,2026-09-01T22:11:05Z,25.408851,54.903346,12.9,162.2
SYNTH_VESSEL_01,2026-09-01T22:15:05Z,25.395179,54.908184,12.9,160.7
SYNTH_VESSEL_01,2026-09-01T22:19:05Z,25.381644,54.913431,12.9,159.2
SYNTH_VESSEL_01,2026-09-01T22:23:05Z,25.368241,54.919041,12.8,157.1
SYNTH_VESSEL_01,2026-09-01T22:27:05Z,25.355183,54.925121,12.6,155.4
SYNTH_VESSEL_01,2026-09-01T22:31:05Z,25.342447,54.931553,12.6,153.7
SYNTH_VESSEL_01,2026-09-01T22:35:05Z,25.329896,54.938401,12.5,151.8
SYNTH_VESSEL_01,2026-09-01T22:39:05Z,25.317639,54.945665,12.5,149.4
SYNTH_VESSEL_01,2026-09-01T22:43:05Z,25.305738,54.953426,12.4,147.4
SYNTH_VESSEL_01,2026-09-01T22:47:05Z,25.294127,54.961614,12.5,145.2
SYNTH_VESSEL_01,2026-09-01T22:51:05Z,25.282756,54.970336,12.4,143.0
SYNTH_VESSEL_01,2026-09-01T22:55:05Z,25.271780,54.979471,12.4,140.7
SYNTH_VESSEL_01,2026-09-01T22:59:05Z,25.261134,54.989083,12.3,139.4
SYNTH_VESSEL_01,2026-09-01T23:03:05Z,25.250751,54.998898,12.4,137.7
SYNTH_VESSEL_01,2026-09-01T23:07:05Z,25.240547,55.009143,12.4,136.2
SYNTH_VESSEL_01,2026-09-01T23:11:05Z,25.230630,55.019636,12.5,134.6
SYNTH_VESSEL_01,2026-09-01T23:15:05Z,25.220885,55.030533,12.6,132.8
SYNTH_VESSEL_01,2026-09-01T23:19:05Z,25.211417,55.041799,12.6,130.9
SYNTH_VESSEL_01,2026-09-01T23:23:05Z,25.202232,55.053490,12.7,129.1
SYNTH_VESSEL_01,2026-09-01T23:27:05Z,25.193373,55.065526,12.7,126.8
SYNTH_VESSEL_01,2026-09-01T23:31:05Z,25.184909,55.077981,12.7,124.9
SYNTH_VESSEL_01,2026-09-01T23:35:05Z,25.176836,55.090733,12.7,123.3
SYNTH_VESSEL_01,2026-09-01T23:39:05Z,25.169105,55.103690,12.5,121.1
SYNTH_VESSEL_01,2026-09-01T23:43:05Z,25.161920,55.116814,12.5,119.8
SYNTH_VESSEL_01,2026-09-01T23:47:05Z,25.155047,55.130045,12.4,117.7
SYNTH_VESSEL_01,2026-09-01T23:51:05Z,25.148637,55.143494,12.4,115.6
SYNTH_VESSEL_01,2026-09-01T23:55:05Z,25.142679,55.157210,12.5,113.9
SYNTH_VESSEL_01,2026-09-01T23:59:05Z,25.137068,55.171179,12.4,111.9
SYNTH_VESSEL_01,2026-09-02T00:03:05Z,25.131941,55.185208,12.4,110.0
SYNTH_VESSEL_01,2026-09-02T00:07:05Z,25.127220,55.199497,12.4,108.7
SYNTH_VESSEL_01,2026-09-02T00:11:05Z,25.122809,55.213834,12.3,106.7
SYNTH_VESSEL_01,2026-09-02T00:15:05Z,25.118895,55.228184,12.4,104.8
SYNTH_VESSEL_01,2026-09-02T00:19:05Z,25.115393,55.242808,12.4,103.3
SYNTH_VESSEL_01,2026-09-02T00:23:05Z,25.112239,55.257552,12.3,101.6
SYNTH_VESSEL_01,2026-09-02T00:27:05Z,25.109498,55.272307,12.4,99.6
SYNTH_VESSEL_01,2026-09-02T00:31:05Z,25.107213,55.287216,12.4,97.7
SYNTH_VESSEL_01,2026-09-02T00:35:05Z,25.105372,55.302235,12.3,96.4
SYNTH_VESSEL_01,2026-09-02T00:39:05Z,25.103851,55.317116,12.2,94.1
SYNTH_VESSEL_01,2026-09-02T00:43:05Z,25.102876,55.332042,12.1,91.9
SYNTH_VESSEL_01,2026-09-02T00:47:05Z,25.102422,55.346832,12.0,90.4
SYNTH_VESSEL_01,2026-09-02T00:51:05Z,25.102336,55.361505,11.9,89.0
SYNTH_VESSEL_01,2026-09-02T00:55:05Z,25.102575,55.376072,12.0,87.4
SYNTH_VESSEL_01,2026-09-02T00:59:05Z,25.103185,55.390762,12.0,86.1
SYNTH_VESSEL_01,2026-09-02T01:03:05Z,25.104092,55.405393,11.9,83.9
SYNTH_VESSEL_01,2026-09-02T01:07:05Z,25.105498,55.419835,11.9,82.4
SYNTH_VESSEL_01,2026-09-02T01:11:05Z,25.107236,55.434205,11.9,80.1
SYNTH_VESSEL_01,2026-09-02T01:15:05Z,25.109506,55.448566,11.8,78.3
SYNTH_VESSEL_01,2026-09-02T01:19:05Z,25.112161,55.462725,11.8,76.8
SYNTH_VESSEL_01,2026-09-02T01:23:05Z,25.115158,55.476793,11.7,75.2
SYNTH_VESSEL_01,2026-09-02T01:27:05Z,25.118476,55.490638,11.7,73.5
SYNTH_VESSEL_02,2026-09-01T16:44:49Z,25.382734,54.520206,12.9,222.0
SYNTH_VESSEL_02,2026-09-01T16:48:49Z,25.372106,54.509604,12.9,221.1
SYNTH_VESSEL_02,2026-09-01T16:52:49Z,25.361297,54.499151,13.0,220.4
SYNTH_VESSEL_02,2026-09-01T16:56:49Z,25.350298,54.488804,13.0,220.0
SYNTH_VESSEL_02,2026-09-01T17:00:49Z,25.339220,54.478511,13.0,219.2
SYNTH_VESSEL_02,2026-09-01T17:04:49Z,25.328021,54.468406,13.0,218.4
SYNTH_VESSEL_02,2026-09-01T17:08:49Z,25.316769,54.458525,12.9,218.0
SYNTH_VESSEL_02,2026-09-01T17:12:49Z,25.305462,54.448764,12.8,217.2
SYNTH_VESSEL_02,2026-09-01T17:16:49Z,25.294105,54.439246,12.9,216.0
SYNTH_VESSEL_02,2026-09-01T17:20:49Z,25.282530,54.429941,12.8,215.6
SYNTH_VESSEL_02,2026-09-01T17:24:49Z,25.270993,54.420822,12.7,215.2
SYNTH_VESSEL_02,2026-09-01T17:28:49Z,25.259478,54.411826,12.6,214.9
SYNTH_VESSEL_02,2026-09-01T17:32:49Z,25.248022,54.402985,12.5,213.8
SYNTH_VESSEL_02,2026-09-01T17:36:49Z,25.236516,54.394455,12.3,213.5
SYNTH_VESSEL_02,2026-09-01T17:40:49Z,25.225094,54.386112,12.3,212.7
SYNTH_VESSEL_02,2026-09-01T17:44:49Z,25.213583,54.377938,12.2,212.4
SYNTH_VESSEL_02,2026-09-01T17:48:49Z,25.202120,54.369893,12.3,211.2
SYNTH_VESSEL_02,2026-09-01T17:52:49Z,25.190411,54.362063,12.4,210.7
SYNTH_VESSEL_02,2026-09-01T17:56:49Z,25.178552,54.354290,12.5,210.1
SYNTH_VESSEL_02,2026-09-01T18:00:49Z,25.166537,54.346598,12.4,209.8
SYNTH_VESSEL_02,2026-09-01T18:04:49Z,25.154559,54.339016,12.5,209.1
SYNTH_VESSEL_02,2026-09-01T18:08:49Z,25.142408,54.331537,12.6,208.0
SYNTH_VESSEL_02,2026-09-01T18:12:49Z,25.130104,54.324299,12.7,206.8
SYNTH_VESSEL_02,2026-09-01T18:16:49Z,25.117582,54.317305,12.5,205.7
SYNTH_VESSEL_02,2026-09-01T18:20:49Z,25.105079,54.310648,12.6,204.8
SYNTH_VESSEL_02,2026-09-01T18:24:49Z,25.092442,54.304197,12.5,203.7
SYNTH_VESSEL_02,2026-09-01T18:28:49Z,25.079760,54.298055,12.5,202.4
SYNTH_VESSEL_02,2026-09-01T18:32:49Z,25.066910,54.292198,12.6,202.0
SYNTH_VESSEL_02,2026-09-01T18:36:49Z,25.053958,54.286421,12.6,201.0
SYNTH_VESSEL_02,2026-09-01T18:40:49Z,25.040935,54.280897,12.4,200.6
SYNTH_VESSEL_02,2026-09-01T18:44:49Z,25.028017,54.275547,12.4,199.4
SYNTH_VESSEL_02,2026-09-01T18:48:49Z,25.015008,54.270479,12.5,198.9
SYNTH_VESSEL_02,2026-09-01T18:52:49Z,25.001936,54.265536,12.5,197.8
SYNTH_VESSEL_02,2026-09-01T18:56:49Z,24.988744,54.260853,12.5,197.0
