vessel_id,timestamp,latitude,longitude,speed,heading
VESSEL_A,2026-08-30T11:30:00Z,12.505,74.790,12.5,90
VESSEL_A,2026-08-30T11:45:00Z,12.508,74.800,12.3,90
VESSEL_A,2026-08-30T12:00:00Z,12.510,74.810,12.1,90
VESSEL_A,2026-08-30T12:15:00Z,12.512,74.820,11.8,90
VESSEL_B,2026-08-30T11:30:00Z,12.520,74.795,9.0,45
VESSEL_B,2026-08-30T11:45:00Z,12.525,74.805,8.8,45
VESSEL_B,2026-08-30T12:00:00Z,12.530,74.815,8.5,45
VESSEL_B,2026-08-30T12:15:00Z,12.535,74.825,8.2,45
VESSEL_C,2026-08-30T11:30:00Z,12.495,74.805,14.0,135
VESSEL_C,2026-08-30T11:45:00Z,12.500,74.810,13.8,135
VESSEL_C,2026-08-30T12:00:00Z,12.505,74.815,13.5,135
VESSEL_C,2026-08-30T12:15:00Z,12.510,74.820,13.2,135
VESSEL_D,2026-08-30T11:30:00Z,12.700,75.100,15.0,180
VESSEL_D,2026-08-30T11:45:00Z,12.705,75.100,15.2,180
VESSEL_D,2026-08-30T12:00:00Z,12.710,75.105,15.1,180
VESSEL_D,2026-08-30T12:15:00Z,12.715,75.105,15.0,180
VESSEL_E,2026-08-30T11:30:00Z,12.200,74.400,7.0,270
VESSEL_E,2026-08-30T11:45:00Z,12.195,74.390,7.2,270
VESSEL_E,2026-08-30T12:00:00Z,12.190,74.380,7.1,270
VESSEL_E,2026-08-30T12:15:00Z,12.185,74.370,7.0,270
VESSEL_F,2026-08-30T11:30:00Z,13.000,74.000,10.0,90
VESSEL_F,2026-08-30T11:45:00Z,13.005,74.010,10.2,90
VESSEL_F,2026-08-30T12:00:00Z,13.010,74.020,10.1,90
VESSEL_F,2026-08-30T12:15:00Z,13.015,74.030,10.0,90
VESSEL_G,2026-08-30T11:30:00Z,12.900,74.900,11.0,225
VESSEL_G,2026-08-30T11:45:00Z,12.895,74.895,11.1,225
VESSEL_G,2026-08-30T12:00:00Z,12.890,74.890,11.0,225
VESSEL_G,2026-08-30T12:15:00Z,12.885,74.885,10.9,225
VESSEL_H,2026-08-30T11:30:00Z,12.300,75.200,6.0,0
VESSEL_H,2026-08-30T11:45:00Z,12.305,75.200,6.1,0
VESSEL_H,2026-08-30T12:00:00Z,12.310,75.205,6.0,0
VESSEL_H,2026-08-30T12:15:00Z,12.315,75.205,5.9,0
VESSEL_I,2026-08-30T11:30:00Z,12.600,74.500,13.0,315
VESSEL_I,2026-08-30T11:45:00Z,12.605,74.495,13.2,315
VESSEL_I,2026-08-30T12:00:00Z,12.610,74.490,13.1,315
VESSEL_I,2026-08-30T12:15:00Z,12.615,74.485,13.0,315
VESSEL_J,2026-08-30T11:30:00Z,12.100,74.700,8.0,45
VESSEL_J,2026-08-30T11:45:00Z,12.105,74.705,8.1,45
VESSEL_J,2026-08-30T12:00:00Z,12.110,74.710,8.0,45
VESSEL_J,2026-08-30T12:15:00Z,12.115,74.715,7.9,45
